,secID,code
889,002378.XSHE,2378
890,002379.XSHE,2379
891,002380.XSHE,2380
892,002381.XSHE,2381
893,002382.XSHE,2382
894,002383.XSHE,2383
895,002384.XSHE,2384
896,002385.XSHE,2385
897,002386.XSHE,2386
898,002387.XSHE,2387
899,002388.XSHE,2388
900,002389.XSHE,2389
901,002390.XSHE,2390
902,002391.XSHE,2391
903,002392.XSHE,2392
904,002393.XSHE,2393
905,002394.XSHE,2394
906,002395.XSHE,2395
907,002396.XSHE,2396
908,002397.XSHE,2397
909,002398.XSHE,2398
910,002399.XSHE,2399
911,002400.XSHE,2400
912,002401.XSHE,2401
913,002402.XSHE,2402
914,002403.XSHE,2403
915,002404.XSHE,2404
916,002405.XSHE,2405
917,002406.XSHE,2406
918,002407.XSHE,2407
919,002408.XSHE,2408
920,002409.XSHE,2409
921,002410.XSHE,2410
922,002411.XSHE,2411
923,002412.XSHE,2412
924,002413.XSHE,2413
925,002414.XSHE,2414
926,002415.XSHE,2415
927,002416.XSHE,2416
928,002417.XSHE,2417
929,002418.XSHE,2418
930,002419.XSHE,2419
931,002420.XSHE,2420
932,002421.XSHE,2421
933,002422.XSHE,2422
934,002423.XSHE,2423
935,002424.XSHE,2424
936,002425.XSHE,2425
937,002426.XSHE,2426
938,002427.XSHE,2427
939,002428.XSHE,2428
940,002429.XSHE,2429
941,002430.XSHE,2430
942,002431.XSHE,2431
943,002432.XSHE,2432
944,002433.XSHE,2433
945,002434.XSHE,2434
946,002435.XSHE,2435
947,002436.XSHE,2436
948,002437.XSHE,2437
949,002438.XSHE,2438
950,002439.XSHE,2439
951,002440.XSHE,2440
952,002441.XSHE,2441
953,002442.XSHE,2442
954,002443.XSHE,2443
955,002444.XSHE,2444
956,002445.XSHE,2445
957,002446.XSHE,2446
958,002447.XSHE,2447
959,002448.XSHE,2448
960,002449.XSHE,2449
961,002450.XSHE,2450
962,002451.XSHE,2451
963,002452.XSHE,2452
964,002453.XSHE,2453
965,002454.XSHE,2454
966,002455.XSHE,2455
967,002456.XSHE,2456
968,002457.XSHE,2457
969,002458.XSHE,2458
970,002459.XSHE,2459
971,002460.XSHE,2460
972,002461.XSHE,2461
973,002462.XSHE,2462
974,002463.XSHE,2463
975,002464.XSHE,2464
976,002465.XSHE,2465
977,002466.XSHE,2466
978,002467.XSHE,2467
979,002468.XSHE,2468
980,002469.XSHE,2469
981,002470.XSHE,2470
982,002471.XSHE,2471
983,002472.XSHE,2472
984,002473.XSHE,2473
985,002474.XSHE,2474
986,002475.XSHE,2475
987,002476.XSHE,2476
988,002477.XSHE,2477
989,002478.XSHE,2478
990,002479.XSHE,2479
991,002480.XSHE,2480
992,002481.XSHE,2481
993,002482.XSHE,2482
994,002483.XSHE,2483
995,002484.XSHE,2484
996,002485.XSHE,2485
997,002486.XSHE,2486
998,002487.XSHE,2487
999,002488.XSHE,2488
1000,002489.XSHE,2489
1001,002490.XSHE,2490
1002,002491.XSHE,2491
1003,002492.XSHE,2492
